Date,Precipitation,Precip_12M,SPI_12M,Drought_Class
31-01-2014,0.046,682.276,0.035795618,Normal
28-02-2014,0.021,682.297,0.035852807,Normal
31-03-2014,0.562,681.25,0.033000094,Normal
30-04-2014,33.388,686.871,0.048281026,Normal
31-05-2014,166.723,765.63,0.254097677,Normal
30-06-2014,58.605,717.151,0.129188152,Normal
31-07-2014,118.127,699.409,0.082066342,Normal
31-08-2014,166.782,802.09,0.344613325,Normal
30-09-2014,78.261,736.128,0.178735161,Normal
31-10-2014,162.544,792.95,0.32218299,Normal
30-11-2014,29.025,814.427,0.374622566,Normal
31-12-2014,10.515,824.599,0.399140179,Normal
31-01-2015,0,824.553,0.399029756,Normal
28-02-2015,0,824.532,0.398979344,Normal
31-03-2015,23.86,847.83,0.454394489,Normal
30-04-2015,32.19,846.632,0.45156967,Normal
31-05-2015,127.267,807.176,0.357021562,Normal
30-06-2015,95.779,844.35,0.446181542,Normal
31-07-2015,32.537,758.76,0.236723417,Normal
31-08-2015,76.769,668.747,-0.001296157,Normal
30-09-2015,104.301,694.787,0.069659369,Normal
31-10-2015,62.674,594.917,-0.213179404,Normal
30-11-2015,22.241,588.133,-0.233524608,Normal
31-12-2015,3.559,581.177,-0.254552033,Normal
31-01-2016,0,581.177,-0.254552033,Normal
29-02-2016,0.732,581.909,-0.25233122,Normal
31-03-2016,8.821,566.87,-0.298345804,Normal
30-04-2016,17.181,551.861,-0.345106543,Normal
31-05-2016,98.557,523.151,-0.437035608,Normal
30-06-2016,118.572,545.944,-0.363779918,Normal
31-07-2016,145.907,659.314,-0.027457756,Normal
31-08-2016,62.673,645.218,-0.067025831,Normal
30-09-2016,89.228,630.145,-0.109987084,Normal
31-10-2016,48.314,615.785,-0.151567246,Normal
30-11-2016,11.614,605.158,-0.18276307,Normal
31-12-2016,3.684,605.283,-0.182393979,Normal
31-01-2017,0,605.283,-0.182393979,Normal
28-02-2017,0,604.551,-0.184556112,Normal
31-03-2017,0.52,596.25,-0.209200296,Normal
30-04-2017,12.081,591.15,-0.224457041,Normal
31-05-2017,101.247,593.84,-0.216398759,Normal
30-06-2017,91.813,567.081,-0.29769449,Normal
31-07-2017,77.508,498.682,-0.518160568,Normal
31-08-2017,76.479,512.488,-0.472059757,Normal
30-09-2017,180.09,603.35,-0.188107396,Normal
31-10-2017,148.844,703.88,0.094015815,Normal
30-11-2017,5.978,698.244,0.078944289,Normal
31-12-2017,0.495,695.055,0.070380278,Normal
31-01-2018,0,695.055,0.070380278,Normal
28-02-2018,0.961,696.016,0.072963796,Normal
31-03-2018,8.178,703.674,0.093466365,Normal
30-04-2018,31.971,723.564,0.146028757,Normal
31-05-2018,143.908,766.225,0.255597548,Normal
30-06-2018,137.065,811.477,0.367474325,Normal
31-07-2018,85.812,819.781,0.387552403,Normal
31-08-2018,66.737,810.039,0.363983628,Normal
30-09-2018,59.549,689.498,0.05539387,Normal
31-10-2018,77.195,617.849,-0.145550714,Normal
30-11-2018,15.342,627.213,-0.118424363,Normal
31-12-2018,3.704,630.422,-0.109191347,Normal
31-01-2019,0,630.422,-0.109191347,Normal
28-02-2019,0,629.461,-0.111953021,Normal
31-03-2019,13.214,634.497,-0.097512329,Normal
30-04-2019,27.988,630.514,-0.108927112,Normal
31-05-2019,40.202,526.808,-0.425136687,Normal
30-06-2019,132.304,522.047,-0.440638956,Normal
31-07-2019,99.672,535.907,-0.395774891,Normal
31-08-2019,100.969,570.139,-0.288273561,Normal
30-09-2019,161.598,672.188,0.008185337,Normal
31-10-2019,305.001,899.994,0.574929966,Normal
30-11-2019,26.473,911.125,0.600052727,Normal
31-12-2019,4.596,912.017,0.602057256,Normal
31-01-2020,0,912.017,0.602057256,Normal
29-02-2020,0,912.017,0.602057256,Normal
31-03-2020,2.515,901.318,0.577928878,Normal
30-04-2020,55.586,928.916,0.639793116,Normal
31-05-2020,96.102,984.816,0.76151368,Normal
30-06-2020,123.352,975.864,0.74232939,Normal
31-07-2020,145.772,1021.964,0.839933244,Normal
31-08-2020,90.346,1011.341,0.817699735,Normal
30-09-2020,195.349,1045.092,0.887826124,Normal
31-10-2020,169.616,909.707,0.596863507,Normal
30-11-2020,1.162,884.396,0.53937996,Normal
31-12-2020,3.222,883.022,0.536228761,Normal
31-01-2021,2.371,885.393,0.541664517,Normal
28-02-2021,0,885.393,0.541664517,Normal
31-03-2021,5.228,888.106,0.547872629,Normal
30-04-2021,55.546,888.066,0.547781188,Normal
31-05-2021,255.583,1047.547,0.892869423,Normal
30-06-2021,116.551,1040.746,0.87887931,Normal
31-07-2021,189.028,1084.002,0.966875811,Normal
31-08-2021,63.263,1056.919,0.912052273,Normal
30-09-2021,73.641,935.211,0.65373516,Normal
31-10-2021,127.767,893.362,0.559864517,Normal
30-11-2021,122.322,1014.522,0.82437327,Normal
31-12-2021,14.782,1026.082,0.848511724,Normal
31-01-2022,0,1023.711,0.843575269,Normal
28-02-2022,0,1023.711,0.843575269,Normal
31-03-2022,12.909,1031.392,0.859540454,Normal
30-04-2022,70.764,1046.61,0.89094545,Normal
31-05-2022,192.302,983.329,0.758334897,Normal
30-06-2022,96.237,963.015,0.714592412,Normal
31-07-2022,167.691,941.678,0.667994426,Normal
31-08-2022,122.195,1000.61,0.795085724,Normal
30-09-2022,154.244,1081.213,0.961271247,Normal
31-10-2022,175.893,1129.339,1.056706336,Moderately Wet
30-11-2022,6.495,1013.512,0.822255828,Normal
31-12-2022,9.46,1008.19,0.811075691,Normal
31-01-2023,0,1008.19,0.811075691,Normal
28-02-2023,0,1008.19,0.811075691,Normal
31-03-2023,0.288,995.569,0.784408144,Normal
30-04-2023,17.569,942.374,0.669525238,Normal
31-05-2023,86.388,836.46,0.427477785,Normal
30-06-2023,47.965,788.188,0.31042869,Normal
31-07-2023,182.643,803.14,0.347179252,Normal
31-08-2023,29.099,710.044,0.110407053,Normal
30-09-2023,56.266,612.066,-0.162442656,Normal
31-10-2023,39.238,475.411,-0.597901685,Normal
30-11-2023,74.82,543.736,-0.370783588,Normal
31-12-2023,6.41,540.686,-0.380490137,Normal
31-01-2024,0.94,541.626,-0.377494622,Normal
29-02-2024,0,541.626,-0.377494622,Normal
31-03-2024,0.136,541.474,-0.377978762,Normal
30-04-2024,55.956,579.861,-0.258549435,Normal
31-05-2024,113.18,606.653,-0.178352127,Normal
30-06-2024,120.142,678.83,0.026395145,Normal
31-07-2024,133.514,629.701,-0.111263054,Normal
31-08-2024,119.366,719.968,0.136597968,Normal
30-09-2024,102.008,765.71,0.254299385,Normal
31-10-2024,274.362,1000.834,0.795559376,Normal
30-11-2024,9.712,935.726,0.654873054,Normal
31-12-2024,17.02,946.336,0.678225397,Normal
