Date,Precipitation,Precip_6M,SPI_6M,Drought_Class
29-02-2024,0,177.674,-0.650492804,Normal
31-03-2024,0.136,121.544,-1.032000647,Moderate Drought
30-04-2024,55.956,138.262,-0.906941133,Normal
31-05-2024,113.18,176.622,-0.656777139,Normal
30-06-2024,120.142,290.354,-0.090471342,Normal
31-07-2024,133.514,422.928,0.40075339,Normal
31-08-2024,119.366,542.294,0.761255161,Normal
30-09-2024,102.008,644.166,1.029992023,Moderately Wet
31-10-2024,274.362,862.572,1.52617941,Severe Wet
30-11-2024,9.712,759.104,1.302393455,Moderately Wet
31-12-2024,17.02,655.982,1.059350829,Moderately Wet
