Date,Precipitation,Precip_3M,SPI_3M,Drought_Class
31-12-2020,3.222,174,0.327961973,Normal
31-01-2021,2.371,6.755,-1.374277981,Moderate Drought
28-02-2021,0,5.593,-1.443008887,Moderate Drought
31-03-2021,5.228,7.599,-1.33038708,Moderate Drought
30-04-2021,55.546,60.774,-0.373055958,Normal
31-05-2021,255.583,316.357,0.841661105,Normal
30-06-2021,116.551,427.68,1.144744071,Moderately Wet
31-07-2021,189.028,561.162,1.448786742,Moderately Wet
31-08-2021,63.263,368.842,0.991770769,Normal
30-09-2021,73.641,325.932,0.87017239,Normal
31-10-2021,127.767,264.671,0.677248203,Normal
30-11-2021,122.322,323.73,0.863663589,Normal
31-12-2021,14.782,264.871,0.677922969,Normal
31-01-2022,0,137.104,0.14966452,Normal
28-02-2022,0,14.782,-1.06556987,Moderate Drought
31-03-2022,12.909,12.909,-1.122002739,Moderate Drought
30-04-2022,70.764,83.673,-0.181604437,Normal
31-05-2022,192.302,275.975,0.714876084,Normal
30-06-2022,96.237,359.303,0.965550265,Normal
31-07-2022,167.691,456.23,1.214238577,Moderately Wet
31-08-2022,122.195,386.123,1.038200641,Moderately Wet
30-09-2022,154.244,444.13,1.185125694,Moderately Wet
31-10-2022,175.893,452.332,1.204912816,Moderately Wet
30-11-2022,6.495,336.632,0.901405944,Normal
31-12-2022,9.46,191.848,0.405001451,Normal
31-01-2023,0,15.955,-1.033138911,Moderate Drought
28-02-2023,0,9.46,-1.246488227,Moderate Drought
31-03-2023,0.288,0.288,-2.334115827,Extreme Drought
30-04-2023,17.569,17.857,-0.984448623,Normal
31-05-2023,86.388,104.245,-0.039962653,Normal
30-06-2023,47.965,151.922,0.224822309,Normal
31-07-2023,182.643,316.996,0.843580949,Normal
31-08-2023,29.099,259.707,0.660392584,Normal
30-09-2023,56.266,268.008,0.688463423,Normal
31-10-2023,39.238,124.603,0.081734866,Normal
30-11-2023,74.82,170.324,0.311435794,Normal
31-12-2023,6.41,120.468,0.058218259,Normal
31-01-2024,0.94,82.17,-0.19290113,Normal
29-02-2024,0,7.35,-1.342889864,Moderate Drought
31-03-2024,0.136,1.076,-1.974109024,Severe Drought
30-04-2024,55.956,56.092,-0.418610249,Normal
31-05-2024,113.18,169.272,0.306661682,Normal
30-06-2024,120.142,289.278,0.757895056,Normal
31-07-2024,133.514,366.836,0.986292731,Normal
31-08-2024,119.366,373.022,1.003125348,Moderately Wet
30-09-2024,102.008,354.888,0.953264892,Normal
31-10-2024,274.362,495.736,1.306090338,Moderately Wet
30-11-2024,9.712,386.082,1.038092053,Moderately Wet
31-12-2024,17.02,301.094,0.795042949,Normal
