Date,Precipitation,Precip_3M,SPI_3M,Drought_Class
31-01-2014,0.046,7.937,-1.313955503,Moderate Drought
28-02-2014,0.021,0.41,-2.241996004,Extreme Drought
31-03-2014,0.562,0.629,-2.126306287,Extreme Drought
30-04-2014,33.388,33.971,-0.684271473,Normal
31-05-2014,166.723,200.673,0.441314519,Normal
30-06-2014,58.605,258.716,0.657002387,Normal
31-07-2014,118.127,343.455,0.920992596,Normal
31-08-2014,166.782,343.514,0.92116088,Normal
30-09-2014,78.261,363.17,0.976232299,Normal
31-10-2014,162.544,407.587,1.094081399,Moderately Wet
30-11-2014,29.025,269.83,0.694548495,Normal
31-12-2014,10.515,202.084,0.44702045,Normal
31-01-2015,0,39.54,-0.607134092,Normal
28-02-2015,0,10.515,-1.204892169,Moderate Drought
31-03-2015,23.86,23.86,-0.854117516,Normal
30-04-2015,32.19,56.05,-0.419031549,Normal
31-05-2015,127.267,183.317,0.368812154,Normal
30-06-2015,95.779,255.236,0.645029538,Normal
31-07-2015,32.537,255.583,0.646228165,Normal
31-08-2015,76.769,205.085,0.459067975,Normal
30-09-2015,104.301,213.607,0.492649143,Normal
31-10-2015,62.674,243.744,0.604713444,Normal
30-11-2015,22.241,189.216,0.393954186,Normal
31-12-2015,3.559,88.474,-0.146477205,Normal
31-01-2016,0,25.8,-0.817631487,Normal
29-02-2016,0.732,4.291,-1.536312936,Severe Drought
31-03-2016,8.821,9.553,-1.242670485,Moderate Drought
30-04-2016,17.181,26.734,-0.80083483,Normal
31-05-2016,98.557,124.559,0.081487532,Normal
30-06-2016,118.572,234.31,0.570671274,Normal
31-07-2016,145.907,363.036,0.975863353,Normal
31-08-2016,62.673,327.152,0.873766419,Normal
30-09-2016,89.228,297.808,0.784808231,Normal
31-10-2016,48.314,200.215,0.439456633,Normal
30-11-2016,11.614,149.156,0.211190254,Normal
31-12-2016,3.684,63.612,-0.346703121,Normal
31-01-2017,0,15.298,-1.051054611,Moderate Drought
28-02-2017,0,3.684,-1.588447077,Severe Drought
31-03-2017,0.52,0.52,-2.178326821,Extreme Drought
30-04-2017,12.081,12.601,-1.131917124,Moderate Drought
31-05-2017,101.247,113.848,0.019357278,Normal
30-06-2017,91.813,205.141,0.459291662,Normal
31-07-2017,77.508,270.568,0.697005625,Normal
31-08-2017,76.479,245.8,0.612016691,Normal
30-09-2017,180.09,334.077,0.894006182,Normal
31-10-2017,148.844,405.413,1.088506879,Moderately Wet
30-11-2017,5.978,334.912,0.896428464,Normal
31-12-2017,0.495,155.317,0.241322777,Normal
31-01-2018,0,6.473,-1.389977831,Moderate Drought
28-02-2018,0.961,1.456,-1.884478686,Severe Drought
31-03-2018,8.178,9.139,-1.259910562,Moderate Drought
30-04-2018,31.971,41.11,-0.586911055,Normal
31-05-2018,143.908,184.057,0.37199581,Normal
30-06-2018,137.065,312.944,0.831364494,Normal
31-07-2018,85.812,366.785,0.986153212,Normal
31-08-2018,66.737,289.614,0.758964824,Normal
30-09-2018,59.549,212.098,0.486768929,Normal
31-10-2018,77.195,203.481,0.452643516,Normal
30-11-2018,15.342,152.086,0.225625186,Normal
31-12-2018,3.704,96.241,-0.092454961,Normal
31-01-2019,0,19.046,-0.956102656,Normal
28-02-2019,0,3.704,-1.586615096,Severe Drought
31-03-2019,13.214,13.214,-1.112374515,Moderate Drought
30-04-2019,27.988,41.202,-0.585744506,Normal
31-05-2019,40.202,81.404,-0.198716295,Normal
30-06-2019,132.304,200.494,0.440588741,Normal
31-07-2019,99.672,272.178,0.702350906,Normal
31-08-2019,100.969,332.945,0.890716138,Normal
30-09-2019,161.598,362.239,0.973667162,Normal
31-10-2019,305.001,567.568,1.46220027,Moderately Wet
30-11-2019,26.473,493.072,1.300041703,Moderately Wet
31-12-2019,4.596,336.07,0.899781371,Normal
31-01-2020,0,31.069,-0.728432033,Normal
29-02-2020,0,4.596,-1.512476258,Severe Drought
31-03-2020,2.515,2.515,-1.71434604,Severe Drought
30-04-2020,55.586,58.101,-0.398728227,Normal
31-05-2020,96.102,154.203,0.235936069,Normal
30-06-2020,123.352,275.04,0.71180226,Normal
31-07-2020,145.772,365.226,0.981882364,Normal
31-08-2020,90.346,359.47,0.966013081,Normal
30-09-2020,195.349,431.467,1.154125051,Moderately Wet
31-10-2020,169.616,455.311,1.212044385,Moderately Wet
30-11-2020,1.162,366.127,0.98435204,Normal
